Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/Youmu_YuyukoDead/002,Text,,"[auto4]<color=#EfC0CB><i><b>소[t0.1] 녀[t0.1] 여</b></i></color>[t2]
                              <color=#EfC0CB><i><b>그[t0.1] 저[t0.1] 스[t0.1] 러[t0.1] 질[t0.1] 뿐</b></i></color>[t0.1]","[auto4]<color=#EfC0CB><i><b>Au[t0.1]to[t0.1]ma[t0.1]ta</b></i></color>[t2]
                              <color=#EfC0CB><i><b>Yo[t0.1]ur[t0.1] De[t0.1]ath[t0.1] is[t0.1] In[t0.1]ev[t0.1]ita[t0.1]ble</b></i></color>[t0.1]","[auto4]<color=#EfC0CB><i><b>オ[t0.1]ト[t0.1]メ[t0.1]ヨ</b></i></color>[t2]
                              <color=#EfC0CB><i><b>タ[t0.1]イ[t0.1]死[t0.1]ヌ[t0.1]イ[t0.1]ダ[t0.1]ケ</b></i></color>[t0.1]","[auto4]<color=#EfC0CB><i><b>オ[t0.1]ト[t0.1]メ[t0.1]ヨ</b></i></color>[t2]
                              <color=#EfC0CB><i><b>タ[t0.1]イ[t0.1]死[t0.1]ヌ[t0.1]イ[t0.1]ダ[t0.1]ケ</b></i></color>[t0.1]","[auto4]<color=#EfC0CB><i><b>オ[t0.1]ト[t0.1]メ[t0.1]ヨ</b></i></color>[t2]
                              <color=#EfC0CB><i><b>タ[t0.1]イ[t0.1]死[t0.1]ヌ[t0.1]イ[t0.1]ダ[t0.1]ケ</b></i></color>[t0.1]"
Dialogue/FS_Youmu_Gift_Normal/001,Text,,"*콘파쿠 요우무
이, 이걸 저에게?
저는 드릴만한 게 없는데……","*Youmu Konpaku
Th-this is for me?
But I have nothing to give in return...","*魂魄妖梦
这，这是要给我吗？
我没什么东西能给你啊……","*魂魄妖梦
这，这是要给我吗？
我没什么东西能给你啊……","*魂魄妖夢
這，這是要給我嗎？
我沒什麼東西能給你啊……"
Dialogue/FS_Youmu_Gift_Normal/002,Text,,"*콘파쿠 요우무
에? 그냥 주신다구요?
고… 고마워요, 루시.","*Youmu Konpaku
Eh? A gift for me?
Th-thank you, Lucy.","*魂魄妖梦
欸？送给我的？
谢…谢谢你，露西。","*魂魄妖梦
欸？送给我的？
谢…谢谢你，露西。","*魂魄妖夢
欸？送給我的？
謝…謝謝你，露西。"
Dialogue/FS_Youmu_Gift_Sake/001,Text,,"*콘파쿠 요우무
음~! 이 향기는 사케네요.","*Youmu Konpaku
Mmm~! This aroma... it's sake, isn't it?","*魂魄妖梦
嗯~！这股酒香味，是清酒吧。","*魂魄妖梦
嗯~！这股酒香味，是清酒吧。","*魂魄妖夢
嗯~！這股酒香味，是清酒吧。"
Dialogue/FS_Youmu_Gift_Sake/002,Text,,"*콘파쿠 요우무
연회에 자주 참여하곤 했는데, 사케는 절대로 빠질 수 없었죠.","*Youmu Konpaku
I often attended banquets before. Sake was always essential.","*魂魄妖梦
我以前经常参加宴会，清酒可是宴会上不可或缺的一员啊。","*魂魄妖梦
我以前经常参加宴会，清酒可是宴会上不可或缺的一员啊。","*魂魄妖夢
我以前經常參加宴會，清酒可是宴會上不可或缺的一員啊。"
Dialogue/FS_Youmu_Gift_Sake/003,Text,,"*콘파쿠 요우무
정말 평온한 나날이었죠. 그립네요……","*Youmu Konpaku
Those were such carefree days... I miss them.","*魂魄妖梦
以前那可真是段悠闲的日子啊，真是令人怀念……","*魂魄妖梦
以前那可真是段悠闲的日子啊，真是令人怀念……","*魂魄妖夢
以前那可真是段悠閒的日子啊，真是令人懷念……"
Dialogue/FS_Youmu_Gift_Sake/004,Text,,"*콘파쿠 요우무
응? 루시도 연회에 참여하고 싶으세요?","*Youmu Konpaku
Hm? Do you want to join a banquet too, Lucy?","*魂魄妖梦
嗯？露西你也想参加吗？","*魂魄妖梦
嗯？露西你也想参加吗？","*魂魄妖夢
嗯？露西你也想參加嗎？"
Dialogue/FS_Youmu_Gift_Sake/005,Text,,"*콘파쿠 요우무
좋아요! 기회되면 제가 안내해드릴게요.","*Youmu Konpaku
Then I'll take you to one when we get the chance.","*魂魄妖梦
那以后有机会的话，我就带你去参加吧。","*魂魄妖梦
那以后有机会的话，我就带你去参加吧。","*魂魄妖夢
那以後有機會的話，我就帶你去參加吧。"
Dialogue/FS_Youmu_Gift_Sake/006,Text,,"*콘파쿠 요우무
물론, 술은 마시면 안 돼요.","*Youmu Konpaku
But you can't drink any alcohol, of course.","*魂魄妖梦
当然，你不能喝酒哦。","*魂魄妖梦
当然，你不能喝酒哦。","*魂魄妖夢
當然，你不能喝酒哦。"
Dialogue/FS_Youmu_Gift_Cake/001,Text,,"*콘파쿠 요우무
와, 멋진 치즈 케이크네요.
보기만 해도 맛있다는게 느껴져요!","*Youmu Konpaku
Oh? This cheesecake looks exquisite.
I can tell it'll taste wonderful.","*魂魄妖梦
嗯？好精致的芝士蛋糕啊。
看着就知道味道一定不会差。","*魂魄妖梦
嗯？好精致的芝士蛋糕啊。
看着就知道味道一定不会差。","*魂魄妖夢
嗯？好精緻的芝士蛋糕啊。
看著就知道味道一定不會差。"
