Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
BattleDia/NormalMode/Choose1,Text,,"자, 선택하세요!",Choose now!,選んでください！ ,撒，做出选择吧！,撒，做出選擇吧！
BattleDia/NormalMode/Start1,Text,,초대받지 않은 손님이 온 것 같네요.,It seems we have uninvited guests~,招かれざる客が来たようね,似乎有些特别的访客不请自来了~,似乎有些特別的訪客不請自來了~
BattleDia/NormalMode/Start2,Text,,"이런 곳까지 왔다는 건, 어차피 살아서 돌아갈 생각은 없다고 보면 되겠죠?",It seems we have uninvited guests~,こんなところに来たということは、生きて帰れるとは思わないでしょ？,都来到这种地方了，反正你们也没想过再活着回去吧？,都來到這種地方了，反正你們也沒想過再活著回去吧？
BattleDia/NormalMode/Start3,Text,,당신들의 죽음으로 사이교우 아야카시의 만개에 완벽한 마침표를 찍어볼까요.,Did you truly believe you'd survive coming here?,あなたの死によって、西行妖を開花させましょう。 ,就用你们的死亡，来为西行妖的盛开画上完美的句号。,就用你們的死亡，來為西行妖的盛開畫上完美的句號。
BattleDia/NormalMode/Start4,Text,,영원히 이곳에 남아 이 아름다운 벚꽃을 감상하시길!,Stay here forever and enjoy this beautiful cherry blossom!,永遠にここで、美しい桜を楽しみなさい！ ,永远地留在这里欣赏这美丽的樱花吧！,永遠地留在這裡欣賞這美麗的櫻花吧！
BattleDia/Phase2/Endding1,Text,,<color=#EfC0CB><i><b>소 녀 여</b></i></color>,<color=#EfC0CB><i><b>Au-to-ma-ta</b></i></color>,<color=#EfC0CB><i><b>オトメヨ</b></i></color>,<color=#EfC0CB><i><b>オトメヨ</b></i></color>,<color=#EfC0CB><i><b>オトメヨ</b></i></color>
BattleDia/Phase2/Endding2,Text,,"<color=#EfC0CB><i><b>소 녀 여</b></i></color>
                              <color=#EfC0CB><i><b>그 저 스 러 질 뿐</b></i></color>","<color=#EfC0CB><i><b>Au-to-ma-ta</b></i></color>
                              <color=#EfC0CB><i><b>Your Fate is Sealed</b></i></color>","<color=#EfC0CB><i><b>オトメヨ</b></i></color>
                              <color=#EfC0CB><i><b>タイ死ヌイダケ</b></i></color>","<color=#EfC0CB><i><b>オトメヨ</b></i></color>
                              <color=#EfC0CB><i><b>タイ死ヌイダケ</b></i></color>","<color=#EfC0CB><i><b>オトメヨ</b></i></color>
                              <color=#EfC0CB><i><b>タイ死ヌイダケ</b></i></color>"
BattleDia/Phase3/Endding,Text,,흩날리는 벚꽃처럼 바람과 함께 사라지거라!,Vanish like scattered cherry petals!,舞い散る桜のように、風と共に去る！,就像这飘散着的樱花，随风凋零吧！,就像這飄散著的櫻花，隨風凋零吧！
BattleDia/YoumuMode/Start1,Text,,사이교우 아야카시도 멋진 경치가 되어가고 있네요.,Saigyou Ayakashi has become truly magnificent~,西行妖も素敵な景色になってきましたね,西行妖已经变成美妙的景象了~,西行妖已經變成美妙的景象了~
BattleDia/YoumuMode/Start2,Text,,"유유코 님, 어째서 이곳에...",Lady Yuyuko... why are you here...?,幽々子様、どうしてここに… ,幽幽子大人您为什么会在这里……,幽幽子大人您為什麼會在這裡……
BattleDia/YoumuMode/Start3,Text,,요우무.. 사이교우 아야카시가 피려고 하고 있어!,"Behold, Youmu—Saigyou Ayakashi's grand bloom!",これは夢だ。 西行妖が咲こうとしている！,是妖梦啊。快看，西行妖就要盛开了呢！,是妖夢啊。快看，西行妖就要盛開了呢！
BattleDia/YoumuMode/Start4,Text,,"사이교우 아야카시는 피지 않아요. 정신 차리세요, 유유코 님!","It cannot blossom! Awaken, Lady Yuyuko!",西行妖は咲かない 目を覚ましてください、幽々子様！,西行妖是不会盛开的。快醒醒，幽幽子大人！,西行妖是不會盛開的。快醒醒，幽幽子大人！
Buff/B_Yuyuko_P/Phase_1,Text,,"방어 형태: 아군 유령이 사망할 때, 자신의 체력을 &b(치유력의 200%)만큼 회복합니다.",Defense Form: Heal &b HP (200% Healing) when allied Ghosts die.,防御形態。味方の幽霊が死亡時に体力が&b回復する(治癒力の200%)。 ,防御形态，友方幽灵死亡时，自身恢复&b（200%治疗力）的生命值。,防禦形態，友方幽靈死亡時，自身恢復&b（200%治療力）的生命值。
Buff/B_Yuyuko_P/Phase_2,Text,,"공격 형태: 아군 유령이 사망할 때, 모든 적 캐릭터에게 &b(공격력의 20%)의 고통 피해를 줍니다.",Offense Form: Deal &b (20% ATK) Pain damage to all enemies per Ghost death.,攻撃形態。味方の幽霊が死亡時に敵全体に&b(攻撃力の20%) の苦痛ダメージを与える。 ,攻击形态，友方幽灵死亡时，对全体敌方角色造成&b（20%攻击力）的痛苦伤害。,攻擊形態，友方幽靈死亡時，對全體敵方角色造成&b（20%攻擊力）的痛苦傷害。
Buff/B_Yuyuko_P/Phase_3,Text,,,,,,
Character/Youmu_CampSelectWord,Text,,부르셨나요? 언제든 준비되어 있습니다!,You called? I'm fully prepared!,私を呼びましたか？もちろん準備は完了しています！,您叫我吗？当然已经准备好了！,您叫我嗎？當然已經準備好了！
Character/Youmu_Text_Battle_AllyND_0,Text,,아직이야…… 아직 기회는 있어요!,Not over yet... There's still hope!,まだ終わってない…まだチャンスはある！ ,还没结束……还有机会！,還沒結束……還有機會！
Character/Youmu_Text_Battle_AllyND_1,Text,,"윽, 좋지 않아……","Ugh, this is bad...",おっと、これはまずいな......。,呜呜，这下不妙了……,嗚嗚，這下不妙了……
Character/Youmu_Text_Battle_AllyND_2,Text,,괜찮으신가요?,Are you injured?,大丈夫ですか？ ,没事吧？,沒事吧？
Character/Youmu_Text_Battle_Cri_0,Text,,지금이다!!!,How about this technique!,こんな技はどうでしょう！ ,这招怎样！,這招怎樣！
Character/Youmu_Text_Battle_Cri_1,Text,,이건 어때!,Perhaps this move will suffice?,そんなときはこんな技はいかが？ ,既然这样，这招如何？,既然這樣，這招如何？
