Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Kiseki/ModTitle,Text,,【CN/EN/KR/JP】섬의 궤적 시리즈,【CN/EN/KR/JP】Trails of Cold Steel Series,【CN/EN/KR/JP】閃の軌跡シリーズ,【CN/EN/KR/JP】闪之轨迹系列,【CN/EN/KR/JP】閃之軌跡系列
Kiseki/ModDescription,Text,,"신규 캐릭터:

Altina Orion

등장작: 영웅전설: 반짝의 궤적 시리즈

일반 스킬 8개 추가 + 희귀 스킬 2개 추가 + 루시 스킬 1개 추가 + 스킬 강화 1개 추가 + 배우지 못하는 생성 S 스킬 2개 추가

Rean Schwarzer

등장작: 영웅전설: 반짝의 궤적 시리즈

일반 스킬 8개 추가 + 희귀 스킬 2개 추가 + 루시 스킬 1개 추가 + 스킬 강화 1개 추가 + 배우지 못하는 생성 S 스킬 2개 추가

신규 장비:

전설적인 장비 1개

출처 자료:

팔콤 위키
게임 내 음성
게임 내 스크린샷 등 + AI 생성 이미지

저작권 침해 시 즉시 변경될 것입니다.","New Characters:

Altina Orion

Appearance: The Legend of Heroes: Trails of Cold Steel Series

Adds 8 Normal Skills + 2 Rare Skills + 1 Lucy Skill + 1 Skill Enhancement + 2 Unlearnable Generated S Skills

Rean Schwarzer

Appearance: The Legend of Heroes: Trails of Cold Steel Series

Adds 8 Normal Skills + 2 Rare Skills + 1 Lucy Skill + 1 Skill Enhancement + 2 Unlearnable Generated S Skills

New Equipment:

1 Legendary Equipment

Source Materials:

Falcom Wiki
In-Game Voice Lines
In-Game Screenshots + AI-Generated Images

Will be changed immediately in case of copyright infringement.","新しいキャラクター：

アルティナ・オライオン (Altina Orion)

登場作品：英雄伝説 閃の軌跡

通常スキル8個 + レアスキル2個 + ルーシィスキル1個 + スキル強化1個 + 学習不能の生成Sスキル2個を追加

リィン・シュバルツァー (Rean Schwarzer)

登場作品：英雄伝説 閃の軌跡

通常スキル8個 + レアスキル2個 + ルーシィスキル1個 + スキル強化1個 + 学習不能の生成Sスキル2個を追加

新しい装備：

伝説の装備1つ

素材の出所：

Falcom Wiki
ゲーム内音声
ゲーム内スクリーンショットなど + AI生成の画像

著作権侵害があれば、即座に変更されます。","新增角色：

阿尔缇娜 Altina Orion

登场作品：英雄传说：闪之轨迹

新增8个普通技能 + 2个稀有技能 + 1个露西技能 + 1个技能强化 + 2个不可学习的生成S技能

黎恩 Rean Schwarzer

登场作品：英雄传说：闪之轨迹

新增8个普通技能 + 2个稀有技能 + 1个露西技能 + 1个技能强化 + 2个不可学习的生成S技能

新增装备：

1件传说装备

素材来源：

Falcom Wiki
游戏内语音
游戏内截图等 + AI生成的图
如有侵权立即更改。","阿爾緹娜 Altina Orion

登場作品：英雄傳說：閃之軌跡

新增8個普通技能 + 2個稀有技能 + 1個露西技能 + 1個技能強化 + 2個不可學習的生成S技能

黎恩 Rean Schwarzer

登場作品：英雄傳說：閃之軌跡

新增8個普通技能 + 2個稀有技能 + 1個露西技能 + 1個技能強化 + 2個不可學習的生成S技能

新增裝備：

1件傳說裝備

素材來源：

Falcom Wiki
遊戲內語音
遊戲內截圖等 + AI生成的圖像
如有侵權立即更改。"
Kiseki/Common/Keyword/BreakValue_Name,Text,,값을 깨다,Break Gauge,値を壊す,打破值,打破值
Kiseki/Common/Keyword/BreakValue_Desc,Text,,값이 100 이상인 경우 모든 포인트를 소모하여 어지러움 (100%)을 일으킵니다. 마지막 공격자의 확률 보너스가 적용됩니다.,"When Break Gauge reaches 100, consume all points to inflict Stun (100%), affected by the last attacker's probability bonus.",値が100以上の場合、すべてのポイントを消費してめまい（100%）を引き起こし、最後の攻撃者の確率ボーナスが適用されます。,打破值满100后消耗全部点数造成眩晕（100%），受最后攻击者的概率加成。,当值达到100以上时，消耗所有点数，造成眩晕（100%），并根据最后攻击者的概率奖励。
Kiseki/Common/Buff/BreakValue_Desc,Text,,값 부수기: &a,Break Gauge: &a,値を破壊する: &a,打破值：&a,打破值：&a
Kiseki/Common/Keyword/Unbalance_Name,Text,,불균형,Unbalance,不均衡,失衡,失衡
Kiseki/Common/Keyword/Unbalance_Desc,Text,,불균형 상태가 파괴 값에 의해 1.5배로 증가합니다. ,Unbalanced targets receive 1.5x Break Gauge damage.,不均衡状態は壊れた値によって1.5倍になります。,失衡状态受到打破值变为1.5倍。,失衡状态受到打破值增加至1.5倍。
Kiseki/Common/Keyword/SpeedUp_Name,Text,,가속도,Speed Gauge,加速度,加速值,加速值
Kiseki/Common/Keyword/SpeedUp_Desc,Text,,"가속도가 100 이상일 때 100 포인트를 소모하여 해당 캐릭터의 하나의 기술을 덱에서(없으면 패를 버림에서) 얻으며 획득합니다 (사용 후 동일한 양의 AP를 회복하고, 최대 3 포인트까지) 그리고 신속을 얻습니다.","When Speed Gauge reaches 100, consume 100 points to draw a skill from the deck (or discard pile if empty) belonging to the corresponding character. The skill gains ""Restore Mana equal to its cost upon use (max 3)"" and grants Swiftness.",加速度が100以上になったら、100ポイントを消費し、対応するキャラクターのスキル1つをデッキから（なければ捨て札から）取得し、取得します（使用後、同じ量のAPを回復し、最大3ポイントまで）。そして、迅速を取得します。,"加速值满100后消耗100点从牌库（没有则从弃牌堆）中获得对应角色的一个技能并使获得(使用后回复等量消耗AP,最多3点)且获得迅速。","加速值达到100后，消耗100点从卡组（如果没有则从弃牌堆）中获得相应角色的一个技能，并获得它（使用后回复相同数量的AP，最多3点）。同时获得""迅速""效果。"
Kiseki/Common/Buff/SpeedUp_Name,Text,,시간 가속 ,Time Acceleration,時間加速 ,时间加速,時間加速
