Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_PD_ALina_2_1_Description,Text,,,Cannot target other characters.,,无法指定其他角色。,
Buff/B_PD_ALina_2_1_Name,Text,,,Taunt,,嘲讽,
Buff/B_PD_ALina_2_2_Description,Text,,,"Cannot attack targets other than &target. 
Removed upon attacking the target.",,"无法攻击除&target以外的目标。
攻击目标时解除。",
Buff/B_PD_ALina_2_2_Name,Text,,,Enraged!!,,发怒！！,
Buff/B_PD_Adelion_11_Description,Text,,,"After attacking a single enemy (non-Follow-up attack), if the target has [Black Mark], &allname performs a Follow-up attack. Deals &alldam damage per stack of [Black Mark] on the target.",,攻击单个敌人后(非追加攻击)，若目标带有【黑色印记】&allname对目标进行追加攻击，目标每有1层【黑色印记】，造成&alldam点伤害。,
Buff/B_PD_Adelion_11_Name,Text,,,Delayed Sniping,,后发狙击,
Buff/B_PD_Adelion_12_Description,Text,,,The next &a skills used by this character will be cast twice.,,自身接下来使用的&a个技能将重复释放1次。,
Buff/B_PD_Adelion_12_Name,Text,,,Dual Guard,,二重警备,
Buff/B_PD_Adelion_14_1_Description,Text,,,,,,
Buff/B_PD_Adelion_14_1_Name,Text,,,Critical Damage Increased,,暴击伤害增加,
Buff/B_PD_Adelion_14_Description,Text,,,"Increases skill costs in hand by 1 and grants Critical to attack skills. 
Restores 1 Mana after using skills from hand. 
Increases Critical damage by 50% of the sum of excess Hit Rate and Critical Rate when attacking enemies.",,"手中自身的技能费用增加1点且攻击技能获得致命，使用手中的技能后恢复1点法力值。
攻击敌人时根据溢出的命中率与暴击率之和的50%增加暴击伤害。",
Buff/B_PD_Adelion_14_Name,Text,,,Self-Ignition,,自我气焰,
Buff/B_PD_Adelion_4_Description,Text,,,,,,
Buff/B_PD_Adelion_4_Name,Text,,,Hit Rate and Evasion Rate Reduced,,命中率、闪避率减少,
Buff/B_PD_Adelion_5_1_Description,Text,,,Cannot act.,,无法行动,
Buff/B_PD_Adelion_5_1_Name,Text,,,Stun,,眩晕,
Buff/B_PD_Adelion_5_2_Description,Text,,,This debuff's effectiveness increases by 5% per stack of [Black Mark].,,每有1层【黑色印记】，此减益的数值提升5%。,
Buff/B_PD_Adelion_5_2_Name,Text,,,Silent Slumber,,静睡,
Buff/B_PD_Adelion_8_Description,Text,,,Restores 1 Mana after using non-Exclude skills.,,使用自己的非放逐技能后恢复1点法力值。,
Buff/B_PD_Adelion_8_Name,Text,,,Emergency Flow,,紧急流速,
Buff/B_PD_Adelion_9_Description,Text,,,"Increases [Black Mark]'s max stacks to 5 and duration to 3 turns. 
Stacks that have already triggered damage can trigger again at 50% reduced damage.",,"【黑色印记】的层数上限提升至5，持续时间提升至3回合。
【黑色印记】已触发过伤害的层数可再次触发，但伤害减少50%。",
Buff/B_PD_Adelion_9_Name,Text,,,Descending Epitaph,,降临碑文,
Buff/B_PD_Adelion_p_Description,Text,,,"Duration scales with player turns. 
Takes &a damage when [White Mark] is applied. 
Triggered stacks cannot reactivate.",,"持续时间基于玩家回合。
被施加【白色印记】时，受到&a点伤害。
已触发过的层数不会再次被触发。",
Buff/B_PD_Adelion_p_Name,Text,,,Black Mark,,黑色印记,
Buff/B_PD_Adelion_p_bac_Description,Text,,,"Duration scales with player turns. 
Takes &a damage when [White Mark] is applied. 
Triggered stacks cannot reactivate.",,"持续时间基于玩家回合。
被施加【白色印记】时，受到&a点伤害。
已触发过的层数不会再次被触发。",
Buff/B_PD_Adelion_p_bac_Name,Text,,,Black Mark,,黑色印记,
Buff/B_PD_Alina_10_Description,Text,,,Adds damage equal to received damage to the next attack.,,受到伤害后，将等量伤害附加至自身的下一次攻击。,
Buff/B_PD_Alina_10_Name,Text,,,Retaliation,,报复,
Buff/B_PD_Alina_11_Description,Text,,,"When Shield depletes, converts stat bonuses to ""30% Evasion Rate Increase"".",,保护罩耗尽时，属性增益转化为“闪避率增加30%”。,
Buff/B_PD_Alina_11_Name,Text,,,Emergency Brake,,紧急制动,
Buff/B_PD_Alina_3_Description,Text,,,,,,
Buff/B_PD_Alina_3_Name,Text,,,Increased Aggro Chance,,受到攻击概率增加,
Buff/B_PD_Alina_4_Description,Text,,,,,,
Buff/B_PD_Alina_4_Name,Text,,,Disabled,,停用,
Buff/B_PD_Alina_5_Description,Text,,,Reduces Defense equal to current Defense.,,降低等于当前防御力的防御力,
Buff/B_PD_Alina_5_Name,Text,,,Defense Collapse,,防御瓦解,
