Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/FS_Toujyou_Gift_Normal/001,Text,,,"*Tojo Tsukasa
Huh? Is this for me?","*東城つかさ
えっ？わたしにくれるの？","*東城司
诶？这是给我的吗",
Dialogue/FS_Toujyou_Gift_Normal/002,Text,,,"*Tojo Tsukasa
I'm so happy!","*東城つかさ
嬉しい～","*東城司
好高兴",
Dialogue/FS_Toujyou_Gift_Normal/003,Text,,,"*Tojo Tsukasa
Unlike a certain game-obsessed person, you actually give me gifts. Thank you, Lucy.","*東城つかさ
ゲームに夢中になっている誰かとは違って、私にプレゼントをくれるね。ありがとう、ルシー","*東城司
和某个游戏宅不一样会送我礼物呢，谢谢你露西",
Dialogue/FS_Toujyou_Gift_Cake/001,Text,,,"*Tojo Tsukasa
Wow, I absolutely love cake! Did you know some cakes are extremely expensive? The Dallas Red Wedding Cake is decorated with jewels worth over $1 million.
The curves are adorned with silver dust, ""glossy"" powdered sugar, and 1200-carat diamonds!","*東城つかさ
わあ、私、ケーキが大好きだわ！知ってる？ケーキには特別高価なものもあるんだよ。ダラスの赤いウェディングケーキには、100万ドル以上の価値がある宝石が飾られているらしいよ。ケーキの曲線は銀粉で装飾されていて、銀色の「光沢」粉砂糖と1200カラットのダイヤモンドで飾られているんだって！","*東城司
哇，我超级喜欢蛋糕，你知道吗，蛋糕也有特别昂贵的哦。据说达拉斯红色婚礼蛋糕就饰有价值超过100万美元的珠宝，
蛋糕的曲线用银粉装饰，并装饰着银色的“光泽”灰尘糖霜和1200克拉的钻石。",
Dialogue/FS_Toujyou_Gift_Cake/002,Text,,,"*Tojo Tsukasa
I really want to eat it someday~","*東城つかさ
たべたいな～","*東城司
什么时候也想吃下这个蛋糕呢",
Dialogue/FS_Toujyou_Gift_Cake/003,Text,,,"*Tojo Tsukasa
Right... You can't eat jewels. Ah, what a pity~","*東城司
そうだよね。宝石は食べられないよね、ああ、残念～","*東城司
也对啊，珠宝是不能吃的。啊，好可惜",
Dialogue/FS_Toujyou_Gift_Cake/004,Text,,,"*Tojo Tsukasa
Thank you for the cake, Lucy. Let's all eat it together~","*東城つかさ
でも、ケーキ、ありがとう。みんなで一緒に食べようよ。","*東城司
谢谢你的蛋糕露西，大家一起来吃吧~",
Dialogue/FS_Toujyou_Gift_Doll/001,Text,,,"*Tojo Tsukasa
Aww~ It's adorable, thank you.","*東城つかさ
ああ～可愛い,ありがとう。","*東城司
啊~好可爱的玩偶，谢谢你",
Dialogue/FS_Toujyou_Gift_Doll/002,Text,,,"*Tojo Tsukasa
Wait, didn't we just defeat some of these earlier? Does the Ark sell matching plushies too?","*東城つかさ
先ほど幾つが倒れそうけど、アークは同じデザインのぬいぐるみも出すのかな？","*東城司
但是刚才好像打倒了几只欸，原来方舟还会推出同款玩偶吗",
Dialogue/FS_Toujyou_Gift_Doll/003,Text,,,"*Tojo Tsukasa
But three hedgehogs stacked together are so amusing. I wonder if there are other types?","*東城つかさ
でも、三重グラスホーグって本当に面白いわ。別のタイプもあるのかな？","*東城司
不过3只刺猬叠在一起好有意思，不知道还有没有其它类型的刺猬呢",
Dialogue/FS_Toujyou_Drink_Tea/001,Text,,,"*Tojo Tsukasa
Black tea. This fragrance reminds me of Ceylon tea...","*東城つかさ
紅茶。この香り、セイロンティーを思い出させるね。","*東城司
红茶，这香气让我想到了锡兰红茶…",
Dialogue/FS_Toujyou_Drink_Tea/002,Text,,,"*Tojo Tsukasa
Though extremely popular in Britain, Ceylon tea was originally a general term for teas produced in Sri Lanka.
Sri Lanka once accounted for 10% of global tea production. Its subtle citrus aroma makes it highly recommended!","*東城つかさ
イギリスではすごく国民に人気だけど、セイロンティーはかつてスリランカ産の紅茶の総称だったんだよ。
スリランカは世界の茶の生産のうち10%を占めていて、ほのかな柑橘系の芳香があり、かなりおすすめだわ。","*東城司
虽然在英国很受欢迎，但锡兰红茶是过去出产于斯里兰卡的茶的总称哦，
斯里兰卡曾经占据了全世界茶生産量的10%。锡兰红茶一般散发着柑橘的清香，我很推荐哦",
Dialogue/FS_Toujyou_Drink_Tea/003,Text,,,"*Tojo Tsukasa
We can drink this here? Wonderful! Let's all have a tea party together when we return~","*東城つかさ
ここで飲めるの？良かった！今回みんな一緒に茶会でもしない？","*東城司
方舟里能喝到吗？太好了！这次回去大家一起喝下午茶吧~",
Dialogue/FS_Toujyou_Gift_Mic/001,Text,,,"*Tojo Tsukasa
A microphone... Come to think of it, I was in a band with everyone back in my original world.","*東城つかさ
マイクね...そういえば、わたし、元の世界でみんなと一緒にバンドしてるよ。","*東城司
话筒吗…说起来，我在那边还和大家一起在组乐队呢",
Dialogue/FS_Toujyou_Gift_Mic/002,Text,,,"*Tojo Tsukasa
It's true! And we even have two vocalists...","*東城つかさ
本当だよ～しかも、ヴォーカルは二人...","*東城司
是真的哦！而且主唱还有两位…",
Dialogue/FS_Toujyou_Gift_Mic/003,Text,,,"*Tojo Tsukasa
I want to hold LIVE performances with everyone again soon. Let's work hard to return quickly, Lucy!","*東城つかさ
みんなと一緒にライブをやりたいな。 一刻も早く帰れるように、頑張ろう、ルシー！","*東城司
好想早些回去和大家继续开LIVE，为了能够早些回去，加油吧露西！",
