Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Equip_SparkleHSR_0_0_Description,Text,,"중첩의 수가 2개가 되면 모든 아군은 +14% 치명타율과 +56% 치명타피해를 올려주는 [불꽃의 색채] 버프를 얻으며, 이는 1라운드 동안 지속됩니다. 
라운드가 끝나면 제거됩니다.","When stacks reach 2, all allies gain +14% CRIT Rate and +56% CRIT DMG for 1 turn. 
Removed at the end of the turn.",,"层数达到2后，全体友军获得暴击率+14%，暴击伤害+56%增益，持续一回合。
回合结束时解除。","层数达到2后，全体友军获得暴击率+14%，暴击伤害+56%增益，持续一回合。
回合结束时解除。"
Buff/B_Equip_SparkleHSR_0_0_Name,Text,,가면,Mask,,假面,假面
Buff/B_Equip_SparkleHSR_0_1_Description,Text,,,,,,
Buff/B_Equip_SparkleHSR_0_1_Name,Text,,불꽃의 색채,Colorful Flame,,彩焰,彩焰
Buff/B_SparkleHSR_10_Description,Text,,턴당 1번 자동 발동: 1회  [분연] ,Automatically triggers once per turn: Act 1.,,每回合自动触发一次：扮演1,每回合自动触发一次：扮演1
Buff/B_SparkleHSR_10_Name,Text,,유희적 인간,Life Is a Gamble,,游戏人间,游戏人间
Buff/B_SparkleHSR_11_Description,Text,,"[서술 트릭]의 효과가 2배로 증가합니다.
해당 캐릭터의 스킬 사용 시 중첩 1 감소합니다.","The effect of ""Red Herring"" is doubled. Reduced by 1 stack when using this character's skill.",,"【叙述性诡计】的效果翻倍
使用该角色技能时减少一层","【叙述性诡计】的效果翻倍
使用该角色技能时减少一层"
Buff/B_SparkleHSR_11_Name,Text,,기이한 수수께끼,Mystery,,迷诡,迷诡
Buff/B_SparkleHSR_12_Description,Text,,아군을 포함하는 스킬 목표에는 모든 아군이 포함됩니다.,Skills targeting allies will target all allies.,,指向包含友军的技能目标将包含全体友军,指向包含友军的技能目标将包含全体友军
Buff/B_SparkleHSR_12_Name,Text,,다중 해답,Narrative Polysemy,,多重解答,多重解答
Buff/B_SparkleHSR_2_Description,Text,,캐릭터의 스킬 사용 후 해제,Removed after using this character's skill.,,使用该角色的技能后解除,使用该角色的技能后解除
Buff/B_SparkleHSR_2_Name,Text,,꿈을 헤엄치는 물고기,Dreamdiver,,梦游鱼,梦游鱼
Buff/B_SparkleHSR_4_Description,Text,,,,,,
Buff/B_SparkleHSR_4_Name,Text,,야상곡,Nocturne,,夜想曲,夜想曲
Buff/B_SparkleHSR_5_Description,Text,,해당 버프가 존재하는 동안 캐릭터의 능력치는 최대 능력치보다 낮아지지 않습니다.,The character's attributes will not fall below the maximum values attained while this buff is active.,,所属角色属性不会低于此增益存在期间拥有属性的最大值,所属角色属性不会低于此增益存在期间拥有属性的最大值
Buff/B_SparkleHSR_5_Name,Text,,인조화,Artificial Flower,,人造花,人造花
Buff/B_SparkleHSR_6_Description,Text,,"[서술 트릭] 중첩 수를 늘린 후 [서술 트릭] 의 중첩 수가 5개 이하인 경우 아군의 행동 후 1개의 [세시기] 중첩을 줄여 1
 [분연] 합니다.","When ""Red Herring"" stacks increase, if stacks are 5 or fewer, Act 1. 
Reduced by 1 stack when triggered.      ",,"【叙述性诡计】层数增加后，若层数不多于5，扮演1
触发时减少一层","【叙述性诡计】层数增加后，若层数不多于5，扮演1
触发时减少一层"
Buff/B_SparkleHSR_6_Name,Text,,세시기,Almanac,,岁时记,岁时记
Buff/B_SparkleHSR_8_Description,Text,,피해를 입힐 때 [서술 트릭]의 중첩 수가 대상의 방어력을 8%씩 감소시키는 것으로 간주합니다.,"When dealing damage, each stack of Trick reduces the target's DEF by 8% for this damage instance.",,造成伤害时，每层诡计都能让此伤害视作目标防御力减少了8%,造成伤害时，每层诡计都能让此伤害视作目标防御力减少了8%
Buff/B_SparkleHSR_8_Name,Text,,실없는 허구,Purely Fictitious,,虚构无端,虚构无端
Buff/B_SparkleHSR_9_Description,Text,,손에서 사용하는 다음 스킬은 신속 스킬이 되며 비용은 -2입니다.,The next skill used from hand gains Swiftness and costs 2 less Mana.,,从手中使用的下个技能变为迅速且费用-2,从手中使用的下个技能变为迅速且费用-2
Buff/B_SparkleHSR_9_Name,Text,,몽환의 포영,Pipedream,,梦幻泡影,梦幻泡影
Buff/B_SparkleHSR_LucyD_Description,Text,,다음 전투의 첫 번째 턴은 3으로 진행됩니다.,Act 3 during the first turn of the next battle.,,下场战斗的第一个回合扮演3,下场战斗的第一个回合扮演3
Buff/B_SparkleHSR_LucyD_Name,Text,,믿을 수 없는 화자（활성화）,Unreliable Narrator (Active),,不可靠叙事者（已激活）,不可靠叙事者（已激活）
Buff/B_SparkleHSR_P_Description,Text,,모든 아군이 주는 피해를 &a%만큼 증가시킵니다.,All investigators' damage dealt increases by &a%.,,全体调查员造成的伤害提高&a%,全体调查员造成的伤害提高&a%
Buff/B_SparkleHSR_P_Name,Text,,서술 트릭,Red Herring,,叙述性诡计,叙述性诡计
