Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
System/Aina_SkillEn,Text,,,Synergy: Choose a skill to return to the bottom of the deck.,強化：デッキに戻すスキルを選んで,协同：选择回到牌库最下方的技能,协同：选择回到牌库最下方的技能
System/Aina_StaticTitle,Text,,,Select effect to activate.,発動する効果を選んでください,选择要发动的效果,选择要发动的效果
System/Aina_StaticTitleSkill8,Text,,,Insufficient qualifying cards in hand.,当てはまるスキルが足りない。,符合要求的手牌数量不足,符合要求的手牌数量不足
System/Aina_StaticTitleSkill8/2,Text,,,Procure Mascot: Select second skill to Exclude from hand.,マスコットを買い入れ：二つ目のスキルを選んで,采购吉祥物:选择第二个从手牌放逐的技能,采购吉祥物:选择第二个从手牌放逐的技能
System/Aina_StaticTitleSkill8/3,Text,,,Procure Mascot: Select skill to add to hand.,マスコットを買い入れ:手札に入るスキルを選んで,采购吉祥物:选择抽取到手牌的技能,采购吉祥物:选择抽取到手牌的技能
System/Aina_StaticTitleSkill9,Text,,,Abyssal Love: Select skill to return to deck.,海ーーそれでも愛する：デッキに戻すスキルを選んで,海洋—深邃之爱:选择返回牌库的技能,海洋—深邃之爱:选择返回牌库的技能
System/SystemS_MizuharaAina_1,Text,,,Generates Barrier equal to 50% of damage dealt. Allies' next skill gains equivalent <color=#E5FF56>Combo Energy</color>.,与えたダメージの50%に基づいて防壁を生成し、味方の次のスキルにはこのスキルの同量な<color=#E5FF56>連撃エネルギー</color>を付与します。,造成的伤害50%将转化为防护墙，使友军的下一个技能附带本次攻击相同的<color=#E5FF56>连击能量</color>,造成的伤害50%将转化为防护墙，使友军的下一个技能附带本次攻击相同的<color=#E5FF56>连击能量</color>
System/SystemS_MizuharaAina_10,Text,,,Extends all target's debuffs by 1 turn.,目標の全てのデバフが１ターンを長くなる,目标敌方的Debuff全部延长一回合,目标敌方的Debuff全部延长一回合
System/SystemS_MizuharaAina_2,Text,,,Applies <color=#17FF00>Befriend Aina~</color> debuff for 2 turns.,2ターンのデバフ<color=#17FF00>【あいなと仲良しいにしよう】</color>を付与します,施加2回合<color=#17FF00>【和あいな做好朋友吧】</color>,施加2回合<color=#17FF00>【和あいな做好朋友吧】</color>
System/SystemS_MizuharaAina_2/2,Text,,,"Applies <color=#17FF00>Befriend Aina~</color> debuff for 2 turns. If <color=#EDFAEC>Savor the Depths</color> exists in deck, add 1 copy to hand with 0 cost. Shuffle deck.",2ターンのデバフ<color=#17FF00>【あいなと仲良しいにしよう】</color>を付与します。そして、デッキに<color=#EDFAEC>【奥深い味わいを】</color>があれば、そのなかの一枚を手札に加えて、さらにコストはゼロになり、そしてデッキをシャッフルします。,"施加2回合<color=#17FF00>【和あいな做好朋友吧】</color>这之后,若牌库中存在<color=#EDFAEC>【品尝深奥滋味】</color>，将其中一张加入手牌，并洗切牌堆""","施加2回合<color=#17FF00>【和あいな做好朋友吧】</color>这之后,若牌库中存在<color=#EDFAEC>【品尝深奥滋味】</color>，将其中一张加入手牌，使之费用变为0，并洗切牌堆"""
