Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_MizuharaAina_1_Description,Text,,,The next skill that hits an enemy increases <color=#E5FF56>Combo Energy</color> by &a. This buff is removed after triggering once.,次の攻撃スキルが<color=#E5FF56>連撃エネルギ</color>を&a上げる。このBUFFが一回のみ効く。,下一个命中敌方的技能，<color=#E5FF56>连击能量</color>提高&a点，生效一次后解除全体友军的该增益,下一个命中敌方的技能，<color=#E5FF56>连击能量</color>提高&a点，生效一次后解除全体友军的该增益
Buff/B_MizuharaAina_1_Name,Text,,,Pirate Combo,パイレーツ連撃,海盗连击,海盗连击
Buff/B_MizuharaAina_3_Description,Text,,,All allies' <color=#FF98DE>OD Gauge gain</color> increases by 10% and gain additional buff effects.,味方全員の<color=#FF98DE>ODゲージ上昇量</color>が10%アップし，他の増益効果も加えられる。,全体友军的<color=#FF98DE>OD获取量</color>提高10%，并附带其他增益效果,全体友军的<color=#FF98DE>OD获取量</color>提高10%，并附带其他增益效果
Buff/B_MizuharaAina_3_Name,Text,,,Abyssal Gift,海からの贈り物,深海馈赠,深海馈赠
Buff/B_MizuharaAina_5_Description,Text,,,,,,
Buff/B_MizuharaAina_5_Name,Text,,,[Let's Feast Together] Healing Effect,【大家一起享用咯】回血效果,【大家一起享用咯】回血效果,【大家一起享用咯】回血效果
Buff/B_MizuharaAina_6_Description,Text,,,"Grants the following effects while ""Aina"" is alive:
Gain 2 <color=#35F9FF>Azure Hearts</color> at the start of each turn.
All allies gain +10% Defense.
+10% <color=#FF98DE>OD Gauge gain</color>.
All skills gain <color=#E5FF56>Combo Energy+1</color>.
Skills grant +5 extra OD on hit.",味方全員の防御力、<color=#FF98DE>ODゲージ上昇量</color>を10％上げ、全てのスキルを<color=#E5FF56>連撃エネルギ</color>１点を得る、そしてスキルが命中した時、エクストラ5点のODエネルギをつもり。さらに、あいなが生きていれば、ターンの始まった時二つの<color=#35F9FF>碧海の心</color>を得る。,"获得以下效果：鱼鱼存活时，每回合开始时获得2顆<color=#35F9FF>海蓝之心</color>；
全体成员防御力提高10%；
<color=#FF98DE>OD获取量</color>提高10%；
所有技能获得<color=#E5FF56>连击能量</color>：1
所有技能额外获得5点od
","获得以下效果：鱼鱼存活时，每回合开始时获得2顆<color=#35F9FF>海蓝之心</color>；
全体成员防御力提高10%；
<color=#FF98DE>OD获取量</color>提高10%；
所有技能获得<color=#E5FF56>连击能量</color>：1
所有技能额外获得5点od
"
Buff/B_MizuharaAina_6_Name,Text,,,<color=#35F9FF>Oceanic Domain</color>,<color=#35F9FF>海世界領域</color>,<color=#35F9FF>海洋世界领域</color>,<color=#35F9FF>海洋世界领域</color>
Buff/B_MizuharaAina_7_Description,Text,,,"Slightly increases chance to be targeted.
When attacked, restores Healing Gauge and gains OD equal to damage taken.","攻撃に受ける確率をちょっとだけアップする。
そして攻撃を受けた時、回復ゲージを回復し、受けたダメージと同量なODエネルギをチャージする。","被攻击的概率略微提高；
当自己被攻击后，恢复体力极限并增加受到伤害的od。","被攻击的概率略微提高；
当自己被攻击后，恢复体力极限并增加受到伤害的od。"
Buff/B_MizuharaAina_7_Name,Text,,,Net Casting,撒き網漁,撒网捕捞,撒网捕捞
Buff/B_MizuharaAina_D10_Description,Text,,,"Reduces enemy damage by 20%. Skills that hit this enemy gain <color=#E5FF56>Combo Energy+2</color> when gaining OD from it. Draw 1 card after resolving, then remove this debuff.",敵20％のダメージをダウンする、そしてODを蓄積する時、命中したスキルを<color=#E5FF56>連撃エネルギ</color>２点得る。この効果が計算完了の時、カード一枚をドローし、このDEBUFFを解除する。,降低敌方20%伤害，从该敌人身上获取od时，命中敌方的技能获得<color=#E5FF56>连击能量</color>2，结算后之后抽一张牌.并解除该debuff,降低敌方20%伤害，从该敌人身上获取od时，命中敌方的技能获得<color=#E5FF56>连击能量</color>2，结算后之后抽一张牌.并解除该debuff
Buff/B_MizuharaAina_D10_Name,Text,,,"""Food...""",食物...,食物...,食物...
Buff/B_MizuharaAina_D1_Description,Text,,,,,,
Buff/B_MizuharaAina_D1_Name,Text,,,Cannon Malfunction,キャノン損傷,炮击损伤,炮击损伤
Buff/B_MizuharaAina_D2_Description,Text,,,"During OD activation: +15% OD damage taken. Once per OD activation, if target's Defense bonus >0, set it to 0.",OD発動の間に、ODダメージ増益が15％アップする。さらにOD発動期間中に一回のみ効ける：敵の防御力が0に超えれば、防御力が０になれ。,OD发动期间，受到的OD伤害加成提高15%；且OD发动期间仅一次，若防御力加成大于0，则自动使防御力加成变成0,OD发动期间，受到的OD伤害加成提高15%；且OD发动期间仅一次，若防御力加成大于0，则自动使防御力加成变成0
Buff/B_MizuharaAina_D2_Name,Text,,,OD Fragility,OD脆弱,OD脆弱,OD脆弱
Buff/B_MizuharaAina_D3_Description,Text,,,Attacking this enemy grants <color=#E5FF56>Combo Energy+1</color> when calculating OD gain.,この敵を攻撃する時、命中したスキルを<color=#E5FF56>連撃エネルギ</color>１点得る,攻击该敌人获得的OD，计算时<color=#E5FF56>连击能量</color>+1,攻击该敌人获得的OD，计算时<color=#E5FF56>连击能量</color>+1
Buff/B_MizuharaAina_D3_Name,Text,,,"""Let's Befriend Aina~""",あいなと仲良しいにしよう~,和鱼鱼做好朋友吧~,和あいな做好朋友吧~
