Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
S_Sakuya_0L,Text,,메이드 비기「살인 인형」,"Maid Secret Skill ""Killing Doll""",メイド秘技「殺人ドール」,女仆秘技「杀人玩偶」,女仆秘技「杀人玩偶」
S_Sakuya_0N,Text,,메이드 비기「꼭두각시 인형」,"Maid Secret Skill ""Manipulating Doll""",メイド秘技「操りドール」,女仆秘技「操弄玩偶」,女仆秘技「操弄玩偶」
S_Sakuya_10RareH,Text,,「디플레이션 월드」,"""Deflation World""",「デフレーションワールド」,「收缩的世界」,「收缩的世界」
S_Sakuya_10RareL,Text,,「사쿠야의 세계」,"""Sakuya's World""",「咲夜の世界」,「咲夜的世界」,「咲夜的世界」
S_Sakuya_10RareN,Text,,시부「프라이빗 스퀘어」,"Time Sign ""Private Square""",時符「プライベートスクウェア」,时符「个人空间」,时符「个人空间」
S_Sakuya_1L,Text,,광속「C. 리코셰」,"Light Speed ""C. Ricochet""",光速「Ｃ．　リコシェ」,光速「光速跃迁」,光速「光速跃迁」
S_Sakuya_1N,Text,,속부「루미너스 리코셰」,"Speed Sign ""Luminous Ricochet""",速符「ルミネスリコシェ」,速符「闪光弹跳」,速符「闪光弹跳」
S_Sakuya_2L,Text,,상혼「소울 스컬프처」,"Scarred Soul ""Soul Sculpture""",傷魂「ソウルスカルプチュア」,伤魂「灵魂雕塑」,伤魂「灵魂雕塑」
S_Sakuya_2N,Text,,상부「인스크라이브 레드 소울」,"Wound Sign ""Inscribe Red Soul""",傷符「インスクライブレッドソウル」,伤符「铭刻于红魂」,伤符「铭刻于红魂」
S_Sakuya_3L,Text,,환유「잭 더 루도빌레」,"Illusion Phantom ""Jack the Ludo Bile""",幻幽「ジャック・ザ・ルドビレ」,幻幽「迷幻的杰克」,幻幽「迷幻的杰克」
S_Sakuya_3N,Text,,환재「클락 콥스」,"Illusion Existence ""Clock Corpse""",幻在「クロックコープス」,幻在「钟表的残骸」,幻在「钟表的残骸」
S_Sakuya_6L,Text,,기술「환혹 미스디렉션」,"Conjuring ""Mesmerizing Misdirection""",奇術「幻惑ミスディレクション」,奇术「幻惑误导」,奇术「幻惑误导」
S_Sakuya_6N,Text,,기술「미스디렉션」,"Conjuring ""Misdirection""",奇術「ミスディレクション」,奇术「误导」,奇术「误导」
