Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
System/StatDesc/a, Text,,"총알 충전 중 하나를 선택, 수량:","Choose 1 special Bullet to fill, quantity:","弾丸充填を選択します。数：","选择一种子弹填装，数量：",
System/StatDesc/b, Text,,탄창,Ammunition storage,貯弾,储弹队列,
System/StatDesc/c, Text,,ATR - 자동 장전 시스템 적용 중,ATR - Automatic loading system in effect,ATR-自動装填システム有効中,ATR-自动装填系统生效中,
System/StatDesc/d1, Text,,파갑,Armor breaking,破甲,破甲,
System/StatDesc/d2, Text,,작열,Fiery,火炎,火焰,
System/StatDesc/d3, Text,,빙결,Glacial,凍結,冰霜,
System/StatDesc/d4, Text,,섬광,Electrified,光,眩光,
System/StatDesc/d5, Text,,녹슨,Rusty,さび,锈蚀,
System/StatDesc/d6, Text,,탄,Bullet,弾,子弹,
System/StatDesc/d7, Text,,"개","(s)","枚","枚",
System/StatDesc/e, Text,,ATR 충전,ATR charging,ATR充エネルギー,ATR充能,
System/StatDesc/f, Text,,ATR 전환,ATR switching,ATR切替,ATR切换,
System/StatDesc/g, Text,,탄약 선택,Choose special Bullet,せんたくだんやく,选择弹药,
