Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Turquoise_10_S_Name,Text,,보호막,Protective Shield,バリア,保护罩,保護罩
Buff/B_Turquoise_10_T_Description,Text,,"&target에게 도발당함.
대상을 공격하면 1중첩 감소합니다.","Prioritize attacking &target. 
Attacking this target reduces stacks by 1.","&targetを優先的に攻撃する。
その対象を攻撃するとストックが1減少する。","优先攻击&target。
攻击该目标时减少1层。","優先攻擊&target。
攻擊該目標時減少1層。"
Buff/B_Turquoise_10_T_Name,Text,,분노!,Taunt!,挑発,嘲讽,嘲諷
Buff/B_Turquoise_21_T_Name,Text,,방어력 무시 증가!,Defense Penetration increased!,防御貫通力増加,防御穿透增加！,防禦穿透增加！
Buff/B_Turquoise_3_T_Description,Text,,"공격당했을 경우, &a피해의 실버스틴의 사격을 두 번 받습니다.
공격당하면 제거됩니다.","When attacked, receive 2 additional Silverstein Shots, each dealing &a damage. 
Removed when triggered.","攻撃された時、&aのダメージのシルバースタインの射撃を2回受ける。
発動時に除去される。","受到攻击时，额外受到2次西尔弗斯坦的射击，每次造成&a点伤害。
触发时解除","受到攻擊時，額外受到2次「西爾弗斯坦的射擊」，每次造成&a點傷害，並解除此效果。
"
Buff/B_Turquoise_3_T_Name,Text,,터쿼이즈의 표식,Turquoise's Mark,ターコイズの刻印,青宝石的标记,青寶石的標記
Buff/B_Turquoise_6_T_Name,Text,,치유의 증기,Healing Steam,癒しの蒸気,治疗蒸汽,治療蒸氣
Buff/B_Turquoise_B_2_T_Description,Text,,공격받으면 제거됨,Removed when attacked.,攻撃を受けると除去する。,受到攻击时解除。,受到攻擊時解除。
Buff/B_Turquoise_B_2_T_Name,Text,,터쿼이즈 실드,Turquoise Shield,ターコイズシールド,青宝石护盾,青寶石護盾
Buff/B_Turquoise_R15_T_Description,Text,,자신의 <b>모방</b> 키워드를 가진 스킬은 덱과 버려진 덱에서도 <b>모방</b> 효과를 적용시킬 수 있습니다.,Skills with the <b>Mimic</b> keyword can trigger their <b>Mimic</b> effects even when in the deck or discard pile.,自身の<b>模倣</b>を持つスキルは、デッキと捨て札でも<b>模倣</b>効果を発動することができる。,自己的带有<b>模拟</b>词条的技能即便在牌库与弃牌库也会触发<b>模拟</b>效果。,牌庫和棄牌庫的自己技能，其<b>模擬</b>效果也會生效。
Buff/B_Turquoise_R15_T_Name,Text,,보석공명,Gem Resonance,宝石の共鳴,宝石共鸣,寶石共鳴
