Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/Remilia_Gift_Normal/001,Text,,,"*Remilia Scarlet
What's this? An offering to this young lady?",,"*蕾米莉亚・斯卡雷特
这是什么，向本小姐献上的贡品么？",
Dialogue/Remilia_Gift_Normal/002,Text,,,"*Remilia Scarlet
...A gift? You're an odd child.",,"*蕾米莉亚・斯卡雷特
……礼物？你真是个奇怪的孩子。",
Dialogue/Remilia_Gift_Normal/003,Text,,,"*Remilia Scarlet
Who gives gifts to vampires? ...Very well, I'll accept it. Can't disregard a child's goodwill, can I?",,"*蕾米莉亚・斯卡雷特
哪有人会给吸血鬼送礼物的。……算了，本小姐就姑且收下了，不能辜负孩子的好意，是吧？",
Dialogue/Remilia_Gift_Tea/001,Text,,,"*Remilia Scarlet
Such refined tea exists even in the Distorted Land?",,"*蕾米莉亚・斯卡雷特
在扭曲之地竟然也有这般名贵的红茶么？",
Dialogue/Remilia_Gift_Tea/002,Text,,,"*Remilia Scarlet
Heh, you understand my tastes. Noble gifts suit noble recipients.",,"*蕾米莉亚・斯卡雷特
哼哼，你倒是挺懂本小姐的嘛。高贵的礼物就应当送给高贵的人。",
Dialogue/Remilia_Gift_Tea/003,Text,,,"*Remilia Scarlet
I'm not like those drunkards. Sipping tea elegantly suits me far better.",,"*蕾米莉亚・斯卡雷特
我和那群酒鬼可不一样。还是优雅地品尝红茶适合我啊。",
Dialogue/Remilia_Gift_Tea/004,Text,,,"*Remilia Scarlet
Care to join me for tea?",,"*蕾米莉亚・斯卡雷特
怎么样，有兴趣陪我一起品茶么？",
Dialogue/Remilia_Gift_Cake/001,Text,,,"*Remilia Scarlet
Cheesecake? ...Not the finest quality, but passable for this wretched place.",,"*蕾米莉亚・斯卡雷特
芝士蛋糕？……虽然不是上品，但在这扭曲之地，也算得上凑合吧。",
Dialogue/Remilia_Gift_Cake/002,Text,,,"*Remilia Scarlet
Let's host a tea party under the night sky later.",,"*蕾米莉亚・斯卡雷特
夜晚的时候就一边开着茶会，一边欣赏夜景吧。",
Dialogue/Remilia_Gift_Cake/003,Text,,,"*Remilia Scarlet
...What? You sleep at 10 PM?...",,"*蕾米莉亚・斯卡雷特
……什么？你十点就要睡了？……",
Dialogue/Remilia_Gift_Cake/004,Text,,,"*Remilia Scarlet
Then... let's reschedule the tea party for tomorrow afternoon...",,"*蕾米莉亚・斯卡雷特
那……那茶会还是换到明天下午吧……",
