Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
ModTitle,Text,,,【CN EN】【Kantai Collection】Hibiki,,【CN EN】【舰队collection】响,
ModDescription,Text,,,"New role:

Hibiki

Appearance: Kantai collection

Added 9 new common skills + 2 rare skills + 1 Lucy skill + 1 skill enhancement

New keyword ""Trust"": The skill will not be discarded after the master dies, and the master will become Hibiki if the user is not Hibiki.

Passive skills will enter the repair state after death is determined, and will return to the battlefield with full health in a few rounds. 

Because all skills will be lost after death, a keyword has been added. After being given, the skills can be retained after death and continued to be used after repair. When used on other friendly skills, the corresponding skills will be inherited after the friend dies.

Material source: AI running, Pixiv, official game resources.

If there is any infringement, please tell me to change it immediately.","新しい役割:

響

登場作品：艦隊これくしょん

9つの新しい共通スキル + 2つのレアスキル + 1つのルーシースキル + 1つのスキル強化を追加

新しいキーワード「信頼」を追加しました。スキルは所有者ーが死亡した後も破棄されず、所有者が響である場合は、所有者を響に変更します。。

パッシブスキルは死亡判定後に修復状態となり、数ラウンドで体力が回復して戦場に復帰します。 

死亡すると全てのスキルが失われるため、キーワードを追加 付与後は死亡後もスキルを保持し、再編後も使い続けることができる 他の味方スキルに使用した場合、該当スキルは味方以降にも引き継がれる死ぬ。

素材ソース：AI走行マップ、Pixiv、公式ゲームリソース。","新增角色：

响

登场作品：舰队collection

新增9个普通技能 + 2个稀有技能 + 1个露西技能 + 1个技能强化

新增关键词 ""信赖"" ：持有者死亡后技能不会被丢弃，使用者不为响则变为响。

被动技能在死亡判定后会进入修理状态，数回合会满血回归战场。（可以当场景的移动血库，不是）

因为死亡后正常会丢失所有技能，加了一个关键字，赋予后可以将技能在死亡后保留，重整后继续使用，对其他友方技能使用时会在友方死亡后继承对应技能。

素材来源：AI跑图，Pixiv，官方游戏资源。

如有侵权立即更改。",
Hibiki/Character/Name,Text,,소리,Hibiki,響,响,響
Hibiki/Character/Name2,Text,,Верный,Verniy,Верный,Верный,Верный
Hibiki/Character/PassiveName,Text,,불사조,Phoenix,不死鳥,不死鸟,不死鳥
Hibiki/Character/Text_Battle_Idle,Text,,괜찮아요,"It's okay, even if I'm alone.",大丈夫だよ。私は一人でも,,,沒事的，即使是我一個人, 没关系，就算我一个人
Hibiki/Character/Text_Battle_ND,Text,,정말로,This is really embarrassing...,流石にこれは、恥ずかしいな…,这还真是，令人害羞啊...,,這還真是，令人害羞啊……,
Kiseki/Altina/Character/Text_Battle_AllyND,Text,,위급한 상황이네요!,We're in a critical situation!,危機的な状況ですね！,陷入危机了呢！,陷入危機了呢！,,
Kiseki/Altina/Character/Text_Battle_Start,Text,,전투 시작!,Battle start!,戦闘開始！,战斗开始！,戰鬥開始！,,
Kiseki/Altina/Character/Text_Battle_Kill,Text,,적이 휴면 상태 확인.,Enemy dormancy confirmed.,敵の休眠確認。,敌人休眠确认。,敵人休眠確認。,,
Kiseki/Altina/Character/Text_Battle_Cri,Text,,이 일격으로 끝내겠습니다!,End it with this strike!,この一撃で終わります！,就用这一击结束！,就用這一擊結束！,,
Kiseki/Altina/Character/Text_Battle_Healed,Text,,구해졌어요! ,We're saved!,助かったね！,得救了呢！,得救了呢！,,
Kiseki/Altina/Character/Text_Field_Idle,Text,,명령을 내려주세요.,Please give orders.,命令を出してください。,请下达命令。,請下達命令。,,
Kiseki/Altina/Character/Text_Field_GetItem,Text,,희귀 아이템을 얻었어요! ,Obtained a rare item!,レアアイテムを手に入れましたね！ ,获得稀有道具了呢！,獲得稀有道具了呢！,,
Hibiki/Character/PassiveDes,Text,,"AP를 소비하고 피해를 받을 때 CP가 증가합니다(연결 상태 지원도 얻을 수 있음). CP가 100 이상이면 S 기술을 사용할 수 있으며, 200 CP일 때 피해가 1.5배로 증가합니다.","The phoenix on the battlefield enters a 3-round repair state before death. After repair, it is remodeled into Verniy, increasing defense by 20%, max HP by 20%, and night battle CI probability by 20%. In Verniy state, when other allies die, discover one exclusive rare skill and two common skills.",APを消費し、ダメージを受けるとCPが増加します（接続状態サポートも得られます）。CPが100以上の場合、Sスキルを使用でき、200 CPのときにダメージが1.5倍に増加します。,战场上的不死鸟在死亡前会进入3回合的修理状态，修理完成后改装为Верный，增加20%防御力，20%最大血量，夜战20%CI概率。Верный状态下，其他友方死亡时，发现一张专属稀有技能和两张普通技能。,消耗AP和承受伤害时增加CP（也可以从连接支持中获得），当CP大于100时，您可以使用S技能，而在200 CP时，伤害增加到1.5倍。,,
Hibiki/Skill/B_Hibiki_Passive_Desc,Text,,,Repair countdown: &a,,修理倒计时：&a,,,
Hibiki/Character/SelectInfo,Text,,,"A calm and composed shipgirl. Compared to her three sisters in the Sixth Destroyer Division, Hibiki speaks less. However, she also has a passionate side in battle, charging forward with a very Russian-style ""Ura!"" Hibiki seems to dislike grooming herself, as her hair in the artwork looks slightly messy. Throughout her life, she fought tirelessly, suffering severe damage multiple times and having to return to port for repairs, but she was never sunk.",,冷静沉稳的舰娘，相对六驱其他三位姐妹，响显得话比较少。但是，她在战斗中也有热血的一面，会非常有毛子特色地大喊着乌拉冲上去。响似乎不喜欢打理自己，立绘的头发显得稍微有点乱。她的一生中不断地奋战，多次遭受严重损伤，不得不回港修理，但却从未被击沉过。,,,
Hibiki/Character/SK_Verniy_Name,Text,,,Trust,,信赖,,,
Hibiki/Character/SK_Verniy_Desc,Text,,,"Skills are not discarded after the holder dies. If the user is not Hibiki, the user becomes Hibiki.",,持有者死亡后技能不会被丢弃，使用者不为响则变为响。,,,
Hibiki/Skill/S_Hibiki_0_Name,Text,,호위,Escort,護衛,护航,護航,,
Hibiki/Skill/S_Hibiki_0_Desc,Text,,,"Escorts a target character, with a 33% chance to shoot down pursuit damage skills targeting the escorted target. When the escorted target attacks, there is a 33% chance to perform an additional attack. Generates a ""Protect"" card.",,护航目标角色，有33%概率击落单独指向护航目标的追击伤害技能。护航目标攻击时33%概率追加攻击。生成一张保护。,精密分析敵人的弱點，降低其攻擊力和閃避，並進入失衡狀態。,,
Hibiki/Skill/B_Hibiki_0_Desc,Text,,,"&a% chance to shoot down pursuit damage skills targeting the escorted target. When the escorted target attacks, there is a &b% chance to perform an additional attack.", there is a &b% chance of additional attacks.,&a%概率击落单独指向目标的追击伤害技能。援护目标攻击时&b%概率追加攻击。,&a%概率击落单独指向目标的追击伤害技能。援护目标攻击时&b%概率追加攻击。,,
Hibiki/Skill/S_Hibiki_0_1_Name,Text,,보호하다,Protect,保護,保护,保護,,
Hibiki/Skill/S_Hibiki_0_1_Desc,Text,,,Protects the target and grants the escorted target a barrier of &a.,,保护目标，并使护航目标获得&a护盾。,,,
Hibiki/Skill/S_Hibiki_1_Name,Text,,정찰,Reconnaissance,偵察,侦察,偵察,,
Hibiki/Skill/S_Hibiki_1_Desc,Text,,,"Gathers enemy information, increases the target's critical hit probability, and reduces evasion rate. The effect is doubled for newly appeared targets.",, 侦察敌方信息，增加目标被暴击概率并减少闪避率，对于新出现的目标效果翻倍。 ,以籠罩戰場的高精度＆高密度灼熱雷射驅逐目標（打破20），對所選目標兩邊的角色造成 &a 傷害（打破10）。,,
Hibiki/Skill/B_Hibiki_1_Desc,Text,,정찰,Reduces evasion rate and increases critical hit probability for newly appeared enemies.,,新敌人出现时减少其回避率并增加被暴击率,,,
Hibiki/Skill/S_Hibiki_2_Name,Text,,포격,Artillery Strike,砲撃,炮击,砲擊,,
Hibiki/Skill/S_Hibiki_2_Desc,Text,,포병 공격은 피해를 입히고 정찰된 목표에 확실히 치명타를 입힐 것입니다.,Deals damage with artillery. Guaranteed critical hit on reconnoitered targets.,砲撃はダメージを与え、偵察対象に確実に致命傷を与えます。,炮击造成伤害，对已侦察目标必定暴击。,炮击造成伤害，对已侦查目标必定暴击。,,
Hibiki/Skill/S_Hibiki_3_Name,Text,,폭풍,Torpedo Strike,雷撃,雷击,雷擊,,
