Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/Ark/01,Text,露西,,Why are you just standing here and not talking to anyone else?,,你就一直站在这里，为什么不跟别人聊天？,
Dialogue/Ark/02,Text,,,"*Tiamat
I'm not very accustomed to verbal communication.",,"*提亚玛特
我不太习惯用语言交流。",
Dialogue/Ark/03,Text,露西,,...That's weird. Does that mean you prefer body language or something?,,……你说话好奇怪，那是说你更喜欢肢体语言一类的？,
Dialogue/Ark/04,Text,,,"*Tiamat
In your concept, it's more like telepathic communication.",,"*提亚玛特
用你们的概念理解是心灵感应那样的能力。",
Dialogue/Ark/05,Text,露西,,"Really? That sounds amazing, but kind of suspicious. Are there others in the Ark who can do that?",,真的？感觉很厉害，但还是好可疑，方舟里还有人会用这样的能力？,
Dialogue/Ark/06,Text,,,"*Tiamat
Yes, it's real.",,"*提亚玛特
是真的。",
Dialogue/Ark/07,Text,露西,,(Lucy stares intently),,（盯）,
Dialogue/Ark/08,Text,,,"*Tiamat
Unfortunately, I can't demonstrate it to you, as this ability only works on my kin or individuals I have formed intimate connections with.",,"*提亚玛特
很可惜，我没法向你展示，因为这个能力只对我的眷属还有建立了亲密关系的个体有效。",
Dialogue/Ark/09,Text,露西,,Your kin?,,眷属？,
Dialogue/Ark/10,Text,,,"*Tiamat
They are my children.",,"*提亚玛特
就是我的孩子们。",
Dialogue/Ark/11,Text,露西,,Huh? ...Chi-children... them...,,啊？……孩，孩子……们……,
Dialogue/Ark/12,Text,露西,,"By the way, what does 'intimate relationship' mean? Isn't our relationship close enough?",,另一个呢，亲密关系是什么意思，我们的关系还不够亲密吗？,
Dialogue/Ark/13,Text,,,"*Tiamat
...",,"*提亚玛特
……",
Dialogue/Ark/14,Text,,,"*Tiamat
In your language, a spousal relationship is often referred to as an intimate relationship as well.",,"*提亚玛特
在你们的语言中，配偶关系通常也叫做亲密关系。",
Dialogue/Ark/15,Text,露西,,"I'm sorry, I shouldn't have asked!",,对不起，我不该问的！,
Dialogue/Ark/16,Text,,,"*Tiamat
Lucy, you should spend some time reading more books.",,"*提亚玛特
露西，你应该花点时间多读书。",
Dialogue/Ark/17,Text,露西,,Okay...,,好的，呜。,
Dialogue/ClockTower/01,Text,,,"*Tiamat
Yes. It was quite an interesting journey.",,"*提亚玛特
嗯，很有趣的一次旅程。",
Dialogue/ClockTower/02,Text,,,"*Tiamat
Sadly, even this kind of scenario will one day grow tiresome, even my conversation with you.",,"*提亚玛特
可惜这样的场景也总有一天会厌倦吧，哪怕是我与你的这段对话。",
