Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Dialogue/Reimu_Gift_Normal/001,Text,,,"Reimu Hakurei
What? This is for me?",,"*博丽灵梦
什么？这是给我的礼物？","*博麗靈夢
什麼？這是给我的禮物？"
Dialogue/Reimu_Gift_Normal/002,Text,,,"Reimu Hakurei
Heheh, I've gotten gifts from all sorts over the years, but this is the first time receiving one from such a tiny human kid.",,"*博丽灵梦
嘿嘿，这些年被各种各样的人送过礼物，但是被这么小的人类孩子送礼倒还是头一次。","*博麗靈夢
嘿嘿，這些年被各種各样的人送過禮物，
但是被這麼小的人類孩子送禮，倒還是頭一次。"
Dialogue/Reimu_Gift_Normal/003,Text,,,"Reimu Hakurei
I'll take good care of it.",,"*博丽灵梦
我会好好珍惜的。","*博麗靈夢
我會好好珍惜的。"
Dialogue/Reimu_Gift_Sake/001,Text,,,"Reimu Hakurei
Sake? This stuff's popular nationwide in Japan, you know.",,"*博丽灵梦
清酒？这在日本可是人见人爱的东西哦。","*博麗靈夢
清酒？這在日本可是人見人愛的東西哦。"
Dialogue/Reimu_Gift_Sake/002,Text,,,"Reimu Hakurei
But minors can't drink! Big Sister Reimu will confiscate this~",,"*博丽灵梦
不过，未成年人可不能饮酒哦。这东西就由灵梦姐姐收下啦。","*博麗靈夢
不過，未成年人可不能飲酒哦。這東西就由靈夢姐姐收下啦。"
Dialogue/Reimu_Gift_Sake/003,Text,,,"Reimu Hakurei
Me? Pfft, human laws don't apply to shrine maidens.",,"*博丽灵梦
我吗？嘿嘿，我可不受人类法律的束缚哦？","*博麗靈夢
我嗎？嘿嘿，我可不受人類法律的束缚哦？"
Dialogue/Reimu_Gift_Sake/004,Text,,,"Reimu Hakurei
My whole deal is being free and unbound anyway.",,"*博丽灵梦
毕竟我的能力就是能够自由自在、不受束缚的影响嘛。","*博麗靈夢
畢竟我的能力就是能夠自由自在、不受束縛的影響嘛。"
Dialogue/Reimu_Gift_Cake/001,Text,,,"Reimu Hakurei
Cheesecake? This is luxury goods in the Twisted Lands! You're giving it to me?",,"*博丽灵梦
芝士蛋糕？这在扭曲之地可是珍惜品耶！要送给我吗？","*博麗靈夢
這蛋糕？這在扭曲之地可是珍惜品耶！要送给我嗎？"
Dialogue/Reimu_Gift_Cake/002,Text,,,"Reimu Hakurei
Thanks Lucy! Haven't had proper cake since arriving here.",,"*博丽灵梦
谢谢你，露西！自从来到扭曲之地之后，我还从来没有品尝过蛋糕呢。","*博麗靈夢
謝謝你，露西！自從來到扭曲之地之後，我還從來沒有品嚐過蛋糕呢。"
Dialogue/Reimu_Gift_Cake/003,Text,,,"Reimu Hakurei
Remilia would love this... Hm? Who's Remilia?",,"*博丽灵梦
蕾米一定很喜欢这种东西吧……你问我蕾米是谁？","*博麗靈夢
蕾米一定很喜歡這種東西吧……妳問我蕾米是誰？"
